t_GNSS,Lat,Lon,Alt,v_E,v_N,v_U
13.50000000,0.68907573,-0.00601030,1698.96202544,-0.22476244,0.01200936,387.09163831
13.60000000,0.68907597,-0.00601196,1736.72290589,0.02632585,0.10555339,391.59067254
13.70000000,0.68907539,-0.00601169,1767.55142458,-0.06320068,0.02384497,395.74000344
13.80000000,0.68907451,-0.00601123,1814.35412230,0.13655716,-0.04710725,400.49368272
13.90000000,0.68907552,-0.00601006,1849.87021158,0.06973498,0.07746833,404.71766985
14.00000000,0.68907560,-0.00601158,1899.35585794,0.08003124,-0.05757408,409.29594221
14.10000000,0.68907566,-0.00601068,1929.93394091,0.08311890,0.02435699,413.79598600
14.20000000,0.68907577,-0.00601059,1975.49569178,-0.06933558,0.20498305,418.45560534
14.30000000,0.68907546,-0.00601086,2026.17579789,0.05553821,-0.05028527,422.95563603
14.40000000,0.68907535,-0.00601053,2062.45795911,-0.07259512,0.01834585,427.52429930
14.50000000,0.68907575,-0.00601049,2118.54948149,0.29788700,0.01117846,432.12428473
14.60000000,0.68907513,-0.00601140,2153.36592318,0.05365585,-0.07731389,436.17885570
14.70000000,0.68907460,-0.00600980,2200.47956877,0.09683534,-0.06857427,440.70555528
14.80000000,0.68907450,-0.00601046,2245.79962786,-0.14207005,-0.05249238,445.40552881
14.90000000,0.68907601,-0.00601051,2289.41252714,0.01083090,-0.12016991,450.10116967
15.00000000,0.68907534,-0.00600997,2334.20471501,-0.11057293,0.14530753,454.69221290
15.10000000,0.68907657,-0.00601049,2378.86881943,-0.09651263,-0.01135107,459.32743699
15.20000000,0.68907444,-0.00601056,2427.58699354,-0.04547271,0.02275312,463.50358486
15.30000000,0.68907552,-0.00601154,2472.93027520,0.02264727,-0.13270887,467.80905451
15.40000000,0.68907502,-0.00601073,2516.16496021,0.05806475,-0.02202509,472.72731981
15.50000000,0.68907438,-0.00600968,2570.31041147,0.20714981,-0.05713860,476.94938385
15.60000000,0.68907422,-0.00601144,2613.59820173,-0.07891338,-0.25718505,481.54538844
15.70000000,0.68907489,-0.00601046,2660.28726180,0.00514614,0.08056608,485.90704860
15.80000000,0.68907559,-0.00601160,2709.70428743,0.11167761,-0.06758502,490.30016525
15.90000000,0.68907460,-0.00601118,2757.57472795,-0.09844441,-0.03519955,494.91126738
16.00000000,0.68907477,-0.00601033,2807.66314689,0.06859700,-0.09950718,499.46650771
16.10000000,0.68907538,-0.00601099,2871.01339876,-0.04810244,-0.01887188,504.00366149
16.20000000,0.68907566,-0.00601168,2914.83822054,-0.01181566,0.12060140,508.31006902
16.30000000,0.68907557,-0.00601093,2963.13910576,0.17640599,0.02952933,512.81788915
16.40000000,0.68907575,-0.00601068,3019.06226229,0.18118127,-0.17359983,517.40571273
16.50000000,0.68907542,-0.00601176,3067.50121586,-0.10144693,0.23006803,521.85675611
16.60000000,0.68907620,-0.00601140,3114.26688438,0.10962680,0.05453450,526.49796803
16.70000000,0.68907491,-0.00601087,3176.36849290,-0.05914077,0.01259926,531.04061125
16.80000000,0.68907513,-0.00601054,3226.98290011,0.08566260,0.07649892,535.39368922
16.90000000,0.68907532,-0.00601169,3287.71019093,0.01632687,0.03004664,539.83594221
17.00000000,0.68907506,-0.00601121,3337.99737115,-0.11158499,-0.05407991,544.37535464
17.10000000,0.68907498,-0.00601088,3387.06647057,-0.14981805,0.14370520,548.74025971
17.20000000,0.68907561,-0.00601119,3446.35570515,-0.09599168,-0.24373313,553.57398951
17.30000000,0.68907544,-0.00601104,3502.08660155,-0.03501992,0.01291350,558.18226687
17.40000000,0.68907490,-0.00601077,3561.22071443,-0.10431318,-0.05042929,562.27484638
